,STG,SCG,STR,LPR,PEG, UNS,聚类类别
147,0.33,0.27,0.2,0.33,0.1,very_low,1
148,0.345,0.299,0.1,0.64,0.13,Low,1
149,0.48,0.3,0.15,0.65,0.77,High,3
150,0.49,0.245,0.38,0.14,0.86,High,2
151,0.33399999999999996,0.295,0.33,0.32,0.3,Low,2
152,0.36,0.29,0.37,0.48,0.13,very_low,1
153,0.39,0.26,0.39,0.77,0.14,Low,1
154,0.43,0.305,0.51,0.09,0.64,Middle,0
155,0.44,0.32,0.55,0.33,0.52,Middle,0
156,0.45,0.299,0.63,0.36,0.51,Middle,0
157,0.495,0.276,0.58,0.77,0.83,High,3
158,0.465,0.258,0.73,0.18,0.59,Middle,0
159,0.475,0.32,0.79,0.31,0.54,Middle,0
160,0.348,0.32899999999999996,0.83,0.61,0.18,Low,1
161,0.385,0.26,0.76,0.84,0.3,Middle,1
162,0.445,0.39,0.02,0.24,0.88,High,2
163,0.43,0.45,0.27,0.27,0.89,High,2
164,0.33,0.34,0.1,0.49,0.12,very_low,1
165,0.4,0.33,0.12,0.3,0.9,High,2
166,0.34,0.4,0.38,0.2,0.61,Middle,2
167,0.38,0.36,0.46,0.49,0.78,High,3
168,0.35,0.38,0.32,0.6,0.16,Low,1
169,0.41,0.49,0.34,0.21,0.92,High,2
170,0.42,0.36,0.63,0.04,0.25,Low,0
171,0.43,0.38,0.62,0.33,0.49,Middle,0
172,0.44,0.33,0.59,0.53,0.85,High,3
173,0.4,0.42,0.58,0.75,0.16,Low,1
174,0.46,0.44,0.89,0.12,0.66,Middle,0
175,0.38,0.39,0.79,0.33,0.3,Low,0
176,0.39,0.42,0.83,0.65,0.19,Low,1
177,0.49,0.34,0.88,0.75,0.71,High,3
178,0.46,0.64,0.22,0.22,0.6,Middle,2
179,0.44,0.55,0.11,0.26,0.83,High,2
180,0.365,0.68,0.1,0.63,0.18,Low,1
181,0.45,0.65,0.19,0.99,0.55,High,3
182,0.46,0.78,0.38,0.24,0.89,High,2
183,0.37,0.55,0.41,0.29,0.3,Low,2
184,0.38,0.59,0.31,0.62,0.2,Low,1
185,0.49,0.64,0.34,0.78,0.21,Low,1
186,0.495,0.82,0.67,0.01,0.93,High,0
187,0.44,0.69,0.61,0.29,0.57,Middle,0
188,0.365,0.57,0.59,0.55,0.25,Low,1
189,0.49,0.9,0.52,0.9,0.47,High,3
190,0.445,0.7,0.82,0.16,0.64,Middle,0
191,0.42,0.7,0.72,0.3,0.8,High,0
192,0.37,0.6,0.77,0.4,0.5,Middle,0
193,0.4,0.61,0.71,0.88,0.67,High,3
194,0.6,0.14,0.22,0.11,0.66,Middle,2
195,0.55,0.1,0.27,0.25,0.29,Low,2
196,0.68,0.19,0.19,0.48,0.1,very_low,1
197,0.73,0.2,0.07,0.72,0.26,Low,1
198,0.78,0.15,0.38,0.18,0.63,Middle,2
199,0.55,0.1,0.34,0.3,0.1,very_low,1
200,0.59,0.18,0.31,0.55,0.09,very_low,1
201,0.64,0.09,0.33,0.65,0.5,Middle,3
202,0.6,0.19,0.55,0.08,0.1,very_low,0
203,0.69,0.02,0.62,0.3,0.29,Low,0
204,0.78,0.21,0.68,0.65,0.75,High,3
205,0.62,0.14,0.52,0.81,0.15,Low,1
206,0.7,0.18,0.88,0.09,0.66,Middle,0
207,0.75,0.015,0.78,0.31,0.53,Middle,0
208,0.55,0.17,0.71,0.48,0.11,very_low,1
209,0.85,0.05,0.91,0.8,0.68,High,3
210,0.78,0.27,0.13,0.14,0.62,Middle,2
211,0.8,0.29,0.06,0.31,0.51,Middle,2
212,0.9,0.26,0.19,0.58,0.79,High,3
213,0.76,0.258,0.07,0.83,0.34,Middle,3
214,0.72,0.32,0.48,0.2,0.6,Middle,0
215,0.6,0.251,0.39,0.29,0.3,Low,2
216,0.52,0.28800000000000003,0.32,0.5,0.3,Low,1
217,0.6,0.31,0.31,0.87,0.58,High,3
218,0.51,0.255,0.55,0.17,0.64,Middle,0
219,0.58,0.295,0.62,0.28,0.3,Low,0
220,0.61,0.258,0.56,0.62,0.24,Low,1
221,0.77,0.267,0.59,0.78,0.28,Middle,3
222,0.79,0.28,0.88,0.2,0.66,Middle,0
223,0.68,0.27,0.78,0.31,0.57,Middle,0
224,0.58,0.299,0.73,0.63,0.21,Low,1
225,0.77,0.29,0.74,0.82,0.68,High,3
226,0.71,0.475,0.13,0.23,0.59,Middle,2
227,0.58,0.348,0.06,0.29,0.31,Low,2
228,0.88,0.335,0.19,0.55,0.78,High,3
229,0.99,0.49,0.07,0.7,0.69,High,3
230,0.73,0.43,0.32,0.12,0.65,Middle,2
231,0.61,0.33,0.36,0.28,0.28,Low,2
232,0.51,0.4,0.4,0.59,0.23,Low,1
233,0.83,0.44,0.49,0.91,0.66,High,3
234,0.66,0.38,0.55,0.15,0.62,Middle,0
235,0.58,0.35,0.51,0.27,0.3,Low,0
236,0.523,0.41,0.55,0.6,0.22,Low,1
237,0.66,0.36,0.56,0.4,0.83,High,3
238,0.62,0.37,0.81,0.13,0.64,Middle,0
239,0.52,0.44,0.82,0.3,0.52,Middle,0
240,0.5,0.4,0.73,0.62,0.2,Low,1
241,0.71,0.46,0.95,0.78,0.86,High,3
242,0.64,0.55,0.15,0.18,0.63,Middle,2
243,0.52,0.85,0.06,0.27,0.25,Low,2
244,0.62,0.62,0.24,0.65,0.25,Middle,1
245,0.91,0.58,0.26,0.89,0.88,High,3
246,0.62,0.67,0.39,0.1,0.66,Middle,2
247,0.58,0.58,0.31,0.29,0.29,Low,2
248,0.89,0.68,0.49,0.65,0.9,High,3
249,0.72,0.6,0.45,0.79,0.45,Middle,3
250,0.68,0.63,0.65,0.09,0.66,Middle,0
251,0.56,0.6,0.6,0.31,0.5,Middle,0
252,0.54,0.51,0.55,0.64,0.19,Low,1
253,0.61,0.78,0.69,0.92,0.58,High,3
254,0.78,0.61,0.71,0.19,0.6,Middle,0
255,0.54,0.82,0.71,0.29,0.77,High,0
256,0.5,0.75,0.81,0.61,0.26,Middle,1
257,0.66,0.9,0.76,0.87,0.74,High,3
