,Sports,Religious,Nature,Theatre,Shopping,Picnic,cluster_db
117,12,74,158,158,74,119,-1
118,12,123,124,109,129,143,-1
119,12,94,137,148,113,100,-1
120,12,123,129,139,99,143,-1
121,12,89,163,99,79,143,-1
122,14,81,173,143,79,122,8
123,14,135,84,158,139,92,-1
124,12,108,113,133,114,100,-1
125,14,138,119,119,124,158,-1
126,12,128,122,134,109,120,-1
127,14,79,203,153,69,119,-1
128,12,84,150,128,104,102,-1
129,12,148,69,104,173,138,-1
130,14,133,124,119,124,168,-1
131,12,89,128,148,111,102,-1
132,12,79,183,133,70,113,-1
133,12,96,113,113,99,97,-1
134,14,84,161,153,84,116,8
135,12,109,135,158,123,92,-1
136,12,133,74,114,175,102,-1
137,14,133,139,124,109,128,-1
138,12,128,124,114,111,126,-1
139,10,97,123,108,119,111,-1
140,12,123,104,104,134,153,-1
141,10,113,89,168,89,89,-1
142,12,109,148,94,133,119,-1
143,10,165,64,94,173,97,-1
144,12,93,123,123,124,100,-1
145,14,143,98,119,163,105,-1
146,12,89,158,89,89,158,-1
147,10,113,111,153,84,97,-1
148,12,138,86,114,158,102,-1
149,12,79,158,148,69,119,-1
150,14,84,178,138,87,116,8
151,14,84,168,148,80,113,8
152,14,84,173,143,69,110,8
153,12,104,130,178,118,92,-1
154,10,99,123,153,128,103,-1
155,12,93,128,118,119,100,-1
156,12,128,119,104,119,173,-1
157,14,94,178,109,69,143,-1
158,12,148,69,104,168,114,-1
159,12,113,114,109,119,143,-1
160,12,153,74,94,163,158,-1
161,22,139,163,114,203,139,-1
162,14,163,99,94,158,143,-1
163,12,89,178,89,79,153,-1
164,12,79,183,104,69,148,-1
165,12,168,69,84,198,133,-1
166,22,128,158,183,158,130,-1
167,22,129,188,109,104,198,-1
168,16,178,74,114,198,129,-1
169,20,143,139,139,139,148,-1
170,20,114,198,124,114,153,-1
171,18,105,158,143,129,133,-1
172,20,120,193,104,148,138,-1
173,20,98,193,163,99,140,-1
174,22,148,174,129,129,153,-1
175,20,183,104,164,193,153,-1
176,18,99,203,129,94,158,-1
177,22,139,178,139,163,144,-1
178,22,90,188,163,109,138,-1
179,18,163,84,129,193,139,-1
180,18,88,178,178,89,140,-1
181,18,114,144,213,133,128,-1
182,22,143,124,208,134,124,-1
183,20,188,94,104,208,158,-1
184,18,99,228,104,84,163,-1
185,18,178,94,114,188,173,-1
186,22,119,198,149,114,168,-1
187,20,114,203,109,84,158,-1
188,18,99,193,158,99,144,-1
189,22,153,139,154,154,183,-1
190,20,162,94,144,198,135,-1
191,18,132,149,139,119,144,-1
192,18,104,193,114,99,173,-1
193,18,99,183,128,114,129,-1
194,20,178,89,154,198,183,-1
195,20,114,243,104,79,173,-1
196,22,133,183,114,183,140,-1
197,22,148,149,154,149,148,-1
198,22,114,213,129,94,178,-1
199,22,188,124,114,183,188,-1
200,25,153,159,129,139,218,-1
201,18,114,153,178,138,124,-1
202,22,184,84,129,233,133,-1
203,18,84,193,188,80,138,-1
204,18,178,129,104,183,163,-1
205,18,114,163,163,148,124,-1
206,16,132,94,178,109,120,-1
207,20,93,183,178,89,140,-1
208,16,137,104,173,109,130,-1
209,18,153,74,114,188,129,-1
210,18,128,114,168,124,124,-1
211,22,114,228,119,99,168,-1
212,22,178,89,114,203,139,-1
213,18,173,84,99,193,158,-1
214,20,168,89,124,183,129,-1
215,18,83,198,163,84,140,-1
216,22,144,173,134,173,149,-1
217,18,198,64,89,203,153,-1
218,20,114,208,114,119,168,-1
219,18,114,183,114,109,178,-1
220,18,114,173,183,128,124,-1
221,18,128,134,188,89,124,-1
222,18,143,154,129,129,178,-1
223,18,128,163,173,133,130,-1
224,18,148,99,139,168,129,-1
225,18,83,218,163,74,140,-1
226,22,120,168,158,144,133,-1
227,22,203,99,104,223,173,-1
228,18,143,139,119,139,203,-1
229,22,153,144,139,144,193,-1
230,18,147,144,129,149,144,-1
231,18,188,74,109,213,168,-1
232,25,158,154,154,154,153,-1
233,25,104,208,168,134,144,-1
234,25,139,153,193,158,134,-1
235,25,84,247,168,109,140,-1
236,25,173,89,124,233,158,-1
237,8,93,119,99,89,138,-1
238,22,124,168,208,148,124,-1
239,18,114,158,178,158,124,-1
240,20,188,94,94,223,153,-1
241,25,114,238,124,104,178,-1
242,18,94,188,148,99,139,-1
243,25,129,318,94,89,188,-1
244,18,139,148,129,129,168,-1
245,22,114,228,104,84,168,-1
246,20,124,178,104,158,174,-1
247,20,133,149,139,144,213,-1
248,20,143,149,139,159,143,-1
